date,pred_cases_mean,pred_cases_q10,pred_cases_q90,ess
2021-11-22,130812.68657268521,130765.16963305019,130861.38116712208,299.99999999999994
2021-11-23,129314.49961710839,129265.80785485147,129363.64560918044,299.99999999999994
2021-11-24,127791.5640055858,127743.2929853639,127840.7709088913,299.99999999999994
2021-11-25,126246.31273779836,126198.6831554149,126295.39087452726,299.99677765476173
2021-11-26,124681.64791753564,124633.59590578816,124731.4074937226,299.99999999999994
2021-11-27,123099.47390679854,123051.42609279105,123149.61611786453,299.99999999999994
2021-11-28,121502.5728936538,121455.25187124583,121552.87539754895,299.99999999999994
2021-11-29,119893.0558666865,119846.1455430769,119942.6335628966,299.99999999999994
2021-11-30,118273.26744788523,118225.98488337251,118323.48207104953,299.99999999999994
2021-12-01,116645.30028835133,116598.34436492567,116696.4106508593,299.99999999999994
2021-12-02,115011.17826590587,114963.93607880072,115062.29827377299,299.99999999999994
2021-12-03,113373.040682049,113325.66217631081,113423.47018139299,299.99999999999994
2021-12-04,111732.63414824946,111686.10559828325,111782.66712555912,299.9964682334577
2021-12-05,110092.24626480546,110045.11896915316,110141.55990429572,299.99999999999994
2021-12-06,108453.22163772209,108405.27339461817,108501.5737671863,299.99999999999994
2021-12-07,106817.4515340208,106770.76241149858,106865.67307845832,299.99999999999994
2021-12-08,105186.40478211177,105140.07929054991,105233.58960591418,299.99999999999994
2021-12-09,103561.75733836899,103516.13387249006,103609.12910006156,299.99999999999994
2021-12-10,101944.86383214379,101898.21423133435,101990.92876565922,299.99999999999994
2021-12-11,100337.11830887235,100291.06240658068,100382.98185245981,299.99999999999994
2021-12-12,98739.74132624187,98694.84116754853,98785.78962166952,299.99999999999994
2021-12-13,97153.92126552283,97108.69932351819,97199.35373910288,299.99999999999994
2021-12-14,95580.85900404889,95535.91999248556,95625.67856561198,299.99999999999994
2021-12-15,94021.55020661808,93976.94365160643,94064.60936448294,299.99999999999994
2021-12-16,92477.01303750102,92433.28887098438,92519.29805565892,299.99999999999994
2021-12-17,90948.02818124412,90905.38368160103,90989.70463365717,299.99999999999994
2021-12-18,89435.45525858481,89393.25583231532,89476.7481793094,299.99999999999994
2021-12-19,87940.03831138145,87899.41868272316,87981.10654328445,299.99999999999994
2021-12-20,86462.5296465919,86422.56393723098,86502.82783041097,299.99999999999994
2021-12-21,85003.34908900448,84963.7842365968,85042.6896922627,299.99999999999994
2021-12-22,83563.03671066776,83523.81382757668,83601.57944905179,299.9938268653335
2021-12-23,82142.58779273776,82104.16877142747,82180.75177119917,299.99999999999994
2021-12-24,80742.00390929432,80704.9816329737,80779.2219897779,299.99999999999994
2021-12-25,79361.71916409186,79325.87765739641,79397.84310805066,299.99999999999994
2021-12-26,78001.92096607633,77966.86269603047,78037.62789810778,299.9945551207092
2021-12-27,76663.22333617554,76628.45042241631,76698.49786612298,299.99999999999994
2021-12-28,75345.68073694504,75311.37305065183,75380.24120651954,299.99999999999994
2021-12-29,74049.46294844044,74015.8860303706,74082.9885611308,299.99999999999994
2021-12-30,72774.5331827391,72741.91861489072,72808.5324182549,299.9959735035652
2021-12-31,71521.63222715288,71489.95765181005,71554.47809281506,299.99999999999994
