date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-05-21,COVID-19,Germany,DE,Germany,reported_cases,176752,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-22,COVID-19,Germany,DE,Germany,reported_cases,177212,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-23,COVID-19,Germany,DE,Germany,reported_cases,177850,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-24,COVID-19,Germany,DE,Germany,reported_cases,178281,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-25,COVID-19,Germany,DE,Germany,reported_cases,178570,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-26,COVID-19,Germany,DE,Germany,reported_cases,179002,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-27,COVID-19,Germany,DE,Germany,reported_cases,179364,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-28,COVID-19,Germany,DE,Germany,reported_cases,179717,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-29,COVID-19,Germany,DE,Germany,reported_cases,180458,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-30,COVID-19,Germany,DE,Germany,reported_cases,181196,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-31,COVID-19,Germany,DE,Germany,reported_cases,181482,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-01,COVID-19,Germany,DE,Germany,reported_cases,181815,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-02,COVID-19,Germany,DE,Germany,reported_cases,182028,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-03,COVID-19,Germany,DE,Germany,reported_cases,182370,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-04,COVID-19,Germany,DE,Germany,reported_cases,182764,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-05,COVID-19,Germany,DE,Germany,reported_cases,183271,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-06,COVID-19,Germany,DE,Germany,reported_cases,183678,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-07,COVID-19,Germany,DE,Germany,reported_cases,183979,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-08,COVID-19,Germany,DE,Germany,reported_cases,184193,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-09,COVID-19,Germany,DE,Germany,reported_cases,184543,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-10,COVID-19,Germany,DE,Germany,reported_cases,184861,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-11,COVID-19,Germany,DE,Germany,reported_cases,185416,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-12,COVID-19,Germany,DE,Germany,reported_cases,185674,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-13,COVID-19,Germany,DE,Germany,reported_cases,186022,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-14,COVID-19,Germany,DE,Germany,reported_cases,186269,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-15,COVID-19,Germany,DE,Germany,reported_cases,186461,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-16,COVID-19,Germany,DE,Germany,reported_cases,186839,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-17,COVID-19,Germany,DE,Germany,reported_cases,187184,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-18,COVID-19,Germany,DE,Germany,reported_cases,187764,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-19,COVID-19,Germany,DE,Germany,reported_cases,188534,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-20,COVID-19,Germany,DE,Germany,reported_cases,189135,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-21,COVID-19,Germany,DE,Germany,reported_cases,189822,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-22,COVID-19,Germany,DE,Germany,reported_cases,190359,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-23,COVID-19,Germany,DE,Germany,reported_cases,190862,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
