date,cases_mean,cases_q10,cases_q90,deaths_mean,deaths_q10,deaths_q90,icu_mean,icu_q10,icu_q90,hospitalization_proxy_mean,hospitalization_proxy_q10,hospitalization_proxy_q90,ess
2021-10-14,68700.64157710242,68697.55372197554,68703.77972164235,226.47665383204676,226.45387329320735,226.50088765112088,2637.655598205361,2637.221932052727,2638.1326577217774,10531.58409736806,10530.613366983162,10532.608477573847,249.9999999999999
2021-10-15,69289.14844886308,69286.19278751324,69292.39502527216,228.63447213381014,228.6119184772473,228.65754023333682,2663.459103827603,2663.0196344218593,2663.903897985709,10631.572689238637,10630.61695436993,10632.552697551564,250.00000000000017
2021-10-16,69877.58463769805,69874.49771487176,69880.83886188638,230.80176923915144,230.7789691916654,230.825061365553,2689.422097722988,2688.9891273219505,2689.926535636939,10731.976224311662,10731.004100970837,10732.936632062296,249.9999999999999
2021-10-17,70468.69588427595,70465.28163314606,70471.86183968169,232.97674745297599,232.95422017213534,232.99853596837073,2715.529892332733,2715.0674995079676,2715.9859138666106,10832.707817349929,10831.76553563451,10833.614569984453,250.00000000000017
2021-10-18,71063.42991729932,71059.98089576003,71066.80170886639,235.1604577401062,235.1383316349179,235.1833112021821,2741.8054446706,2741.3470765308894,2742.293299795083,10933.810699652642,10932.887414189949,10934.75674759112,249.9999999999999
2021-10-19,71656.95738124498,71653.55682684008,71660.5115289781,237.3504571124527,237.3285909518647,237.37251480947108,2768.22997757719,2767.7973121409896,2768.7020604086033,11035.166175614779,11034.243043708148,11036.078642388688,250.00000000000017
2021-10-20,72244.40885478875,72240.88207637297,72247.87375732645,239.54801193752937,239.52416813933337,239.56969133601535,2794.78218111673,2794.3323476547484,2795.2484959906706,11136.852111913793,11135.83392962031,11137.747704005718,249.9999999999999
2021-10-21,72827.5819220287,72823.93167124875,72831.15067158267,241.7508931002397,241.72618487892288,241.77389932473235,2821.4591729975155,2821.0304405410043,2821.982789808377,11238.752703698134,11237.677919658572,11239.68796982361,250.00000000000017
2021-10-22,73405.51136805544,73401.87352754598,73409.25310090922,243.95927209039283,243.93488197172258,243.9826940255396,2848.259350120559,2847.7984825420986,2848.742999921496,11340.877820483538,11339.83669191061,11341.856001385508,249.9999999999999
2021-10-23,73980.63796876372,73976.84153160379,73984.39736809293,246.1731870392122,246.1490337494904,246.19682072626313,2875.181586358013,2874.7633612466047,2875.632231980452,11443.230061875372,11442.17895458023,11444.236758234663,250.00000000000017
2021-10-24,74557.13229491952,74553.07917676754,74561.05754444253,248.39022227016423,248.3657148117691,248.41488946278528,2902.2197641604357,2901.7805488093704,2902.680509474519,11545.68550676631,11544.626806509232,11546.741282528426,249.9999999999999
2021-10-25,75133.56706663127,75129.64562651631,75137.56528447515,250.60989617190498,250.58599668469222,250.63549889976426,2929.348636455286,2928.8946108130467,2929.8303472212333,11648.232095123796,11647.213188240094,11649.326075134313,250.00000000000017
2021-10-26,75706.45010217096,75702.46001033402,75710.44503458354,252.83014543330955,252.80369921584713,252.8557379895908,2956.5627718280775,2956.0892182710377,2957.089836005501,11750.764090264673,11749.621422796672,11751.83366471241,249.9999999999999
2021-10-27,76271.77167499527,76267.6133040173,76275.89909058083,255.05242547132158,255.027756604117,255.0775612890462,2983.8593060894996,2983.3964175839023,2984.3383059754187,11853.359600548769,11852.30486464621,11854.430433120633,250.00000000000017
2021-10-28,76828.85172296448,76824.74274088356,76833.1028703514,257.27469270031776,257.2513644124106,257.2999494647796,3011.2463051956247,3010.81352739029,3011.7523346502876,11955.906823597974,11954.906796763566,11956.969795698775,249.9999999999999
2021-10-29,77379.35619114713,77375.23665723474,77383.6161040078,259.4959847002011,259.4688109674376,259.52102419059145,3038.715614760347,3038.232002542105,3039.252244028562,12058.35939750514,12057.183733790345,12059.394828963466,250.00000000000017
2021-10-30,77924.4287192298,77920.05180106805,77928.8482929455,261.71652340517386,261.6913056052549,261.74202659319104,3066.2234426388386,3065.7349094192173,3066.7243582347296,12160.752051515025,12159.681921634881,12161.83068478125,249.9999999999999
2021-10-31,78467.30366602447,78462.90528972169,78471.66037691636,263.9332161136731,263.9081287003079,263.9591948171561,3093.7609018024573,3093.262519865629,3094.298259413936,12262.92668924466,12261.868605350086,12264.01116963246,250.00000000000017
2021-11-01,79009.20266459494,79004.7378023678,79013.55155120567,266.1456388015809,266.11818415410585,266.1711150538317,3121.322661507497,3120.8045760459186,3121.8840477775925,12364.863799289787,12363.691494402457,12365.909188213463,249.9999999999999
2021-11-02,79546.16713486625,79541.66719923112,79550.48532953484,268.35310248023956,268.32888511733955,268.3764871282152,3148.9225486103737,3148.4394012544562,3149.42726670397,12466.519841796622,12465.499531831314,12467.484971640815,250.00000000000017
2021-11-03,80073.8422867281,80069.26195248448,80078.22051160513,270.5552613265372,270.52994599384306,270.58082171436587,3176.554266032942,3176.066174217613,3177.0544399202035,12567.87992980041,12566.80443429826,12568.961963955991,249.9999999999999
2021-11-04,80589.99673256221,80585.29933720497,80594.49059580293,272.749505820098,272.7225081219742,272.77342934834525,3204.1801050896547,3203.7031671689856,3204.708488233465,12668.826566800077,12667.656655278124,12669.80760347424,250.00000000000017
2021-11-05,81095.36483753852,81090.50153229987,81099.92565189852,274.9364978906286,274.9081301724008,274.96304413346434,3231.7811617799475,3231.2934309886828,3232.289271745537,12769.404540675216,12768.16820329021,12770.534285053103,249.9999999999999
2021-11-06,81592.83055667,81588.06364957553,81597.54293867639,277.11372951273415,277.08630332698374,277.1409299836083,3259.342264206362,3258.7877414367413,3259.860422462329,12869.48983529845,12868.338205927175,12870.648724157107,250.00000000000017
2021-11-07,82085.77238455437,82080.9298409226,82090.91570523001,279.2809233939023,279.2527165870526,279.30783704724365,3286.902870328919,3286.396776629467,3287.4653049590484,12969.04708897964,12967.828885303048,12970.16757882385,249.9999999999999
2021-11-08,82574.26991082035,82569.45598232058,82579.44395232569,281.4352261738935,281.40709465071484,281.4619079445189,3314.422464619892,3313.8653001137136,3314.9904998987877,13067.94744882603,13066.760086819879,13069.052786606895,250.00000000000017
2021-11-09,83054.31615012833,83049.61268843697,83059.60193770741,283.5772742814849,283.5515491413447,283.6040392480118,3341.881102437682,3341.382646856432,3342.4187910696864,13166.234908268847,13165.14329856739,13167.360596700788,249.9999999999999
2021-11-10,83518.97835091989,83514.04668542484,83524.22739961681,285.7050584143944,285.67716446227627,285.73155691314736,3369.2750260291327,3368.7461307945096,3369.852446020929,13263.805692321213,13262.615955491116,13264.896444891478,250.00000000000017
2021-11-11,83969.3640672889,83964.38272834336,83974.82745195052,287.8171604614329,287.7912263720834,287.84361474034756,3396.5844002600916,3396.0674530277793,3397.1492050960173,13360.595603096419,13359.502728516085,13361.690667862495,249.9999999999999
2021-11-12,84406.0992600317,84400.91403025367,84411.34107769473,289.9130484168742,289.8869297838499,289.93988073678656,3423.7616079276163,3423.2313925797484,3424.3040445948945,13456.601701978845,13455.506097792233,13457.728436359874,250.00000000000017
2021-11-13,84830.81633827765,84825.56968590413,84836.04768241943,291.9900311717457,291.96022588621554,292.0177739897433,3450.83676815336,3450.2936079255423,3451.3946157010173,13551.666499484847,13550.38367405053,13552.83304382806,249.9999999999999
2021-11-14,85248.6818546406,85243.3284431472,85254.01650341548,294.0474270981732,294.01885637814115,294.0757731797116,3477.7966082981998,3477.2815562611804,3478.3338517352145,13645.761106062697,13644.52846397523,13646.97024538734,250.00000000000017
2021-11-15,85660.98373799972,85655.74310046194,85666.5722141382,296.08151343120113,296.05422640628603,296.10901855016226,3504.6123546194717,3504.106697271578,3505.1239918995952,13738.70473078981,13737.534707030014,13739.883085850857,249.9999999999999
2021-11-16,86060.59376479175,86055.18994124723,86066.10912138374,298.0929070740561,298.0638858816321,298.1199233726119,3531.2430968428653,3530.6983670353893,3531.796190641804,13830.55137398039,13829.310642698854,13831.682182431256,250.00000000000017
2021-11-17,86443.41679733644,86437.87957138427,86448.82257726086,300.08036066937143,300.05205319236677,300.10958573532133,3557.7277835951977,3557.1630995661694,3558.3469343124407,13921.214885969444,13920.022220879215,13922.42717853668,249.9999999999999
2021-11-18,86808.96954242716,86803.28872778614,86814.54136179548,302.0426889344987,302.0139394053588,302.07229776403415,3583.999578653106,3583.400678135236,3584.5977784002575,14010.66806041935,14009.470138105604,14011.9115778964,250.00000000000017
2021-11-19,87156.58910039856,87151.07437104295,87162.3137829946,303.9769584751688,303.9472975917243,304.00872566801496,3610.0758966708795,3609.4777369472304,3610.695907869633,14098.747342550525,14097.501064329052,14100.092978385193,249.9999999999999
2021-11-20,87488.3750917814,87482.71177611251,87494.17520787036,305.8833843500526,305.85303321462993,305.91498236468425,3635.930483041124,3635.35322697835,3636.535069867472,14185.47786945481,14184.184260255075,14186.82271926366,250.00000000000017
2021-11-21,87808.63641389941,87802.75151976904,87814.43199728198,307.76016332676795,307.7297687494522,307.79044573961085,3661.545276558776,3660.9390252015346,3662.1291639424335,14270.774240062117,14269.493605128257,14272.06074211508,249.9999999999999
